Probe,Group,Value,Timepoint,ZT,Time,Mean,SD,SEM
ARNTL,1,0.5,T1,1,21/01/2021 07:00,1.0825,0.447837396,0.223918698
ARNTL,1,1.05,T1,1,21/01/2021 07:00,1.0825,0.447837396,0.223918698
ARNTL,1,1.58,T1,1,21/01/2021 07:00,1.0825,0.447837396,0.223918698
ARNTL,1,1.2,T1,1,21/01/2021 07:00,1.0825,0.447837396,0.223918698
ARNTL,1,1.33,T2,5,21/01/2021 11:00,0.87,0.31166221,0.155831105
ARNTL,1,0.77,T2,5,21/01/2021 11:00,0.87,0.31166221,0.155831105
ARNTL,1,0.74,T2,5,21/01/2021 11:00,0.87,0.31166221,0.155831105
ARNTL,1,0.64,T2,5,21/01/2021 11:00,0.87,0.31166221,0.155831105
ARNTL,1,0.46,T3,9,21/01/2021 15:00,0.865,0.413239237,0.206619618
ARNTL,1,1.44,T3,9,21/01/2021 15:00,0.865,0.413239237,0.206619618
ARNTL,1,0.74,T3,9,21/01/2021 15:00,0.865,0.413239237,0.206619618
ARNTL,1,0.82,T3,9,21/01/2021 15:00,0.865,0.413239237,0.206619618
ARNTL,1,0.35,T4,13,21/01/2021 19:00,0.3725,0.128419884,0.064209942
ARNTL,1,0.46,T4,13,21/01/2021 19:00,0.3725,0.128419884,0.064209942
ARNTL,1,0.48,T4,13,21/01/2021 19:00,0.3725,0.128419884,0.064209942
ARNTL,1,0.2,T4,13,21/01/2021 19:00,0.3725,0.128419884,0.064209942
ARNTL,1,0.31,T5,17,21/01/2021 23:00,0.3175,0.139612559,0.06980628
ARNTL,1,0.14,T5,17,21/01/2021 23:00,0.3175,0.139612559,0.06980628
ARNTL,1,0.34,T5,17,21/01/2021 23:00,0.3175,0.139612559,0.06980628
ARNTL,1,0.48,T5,17,21/01/2021 23:00,0.3175,0.139612559,0.06980628
ARNTL,1,0.7,T6,21,22/01/2021 03:00,0.715,0.012909944,0.006454972
ARNTL,1,0.72,T6,21,22/01/2021 03:00,0.715,0.012909944,0.006454972
ARNTL,1,0.73,T6,21,22/01/2021 03:00,0.715,0.012909944,0.006454972
ARNTL,1,0.71,T6,21,22/01/2021 03:00,0.715,0.012909944,0.006454972
ARNTL,1,1.12,T7,1,22/01/2021 07:00,1.5075,0.301924383,0.150962192
ARNTL,1,1.85,T7,1,22/01/2021 07:00,1.5075,0.301924383,0.150962192
ARNTL,1,1.48,T7,1,22/01/2021 07:00,1.5075,0.301924383,0.150962192
ARNTL,1,1.58,T7,1,22/01/2021 07:00,1.5075,0.301924383,0.150962192
ARNTL,1,2.26,T8,5,22/01/2021 11:00,1.5875,0.47953971,0.239769855
ARNTL,1,1.59,T8,5,22/01/2021 11:00,1.5875,0.47953971,0.239769855
ARNTL,1,1.32,T8,5,22/01/2021 11:00,1.5875,0.47953971,0.239769855
ARNTL,1,1.18,T8,5,22/01/2021 11:00,1.5875,0.47953971,0.239769855
ARNTL,1,0.69,T9,9,22/01/2021 15:00,0.8675,0.141980046,0.070990023
ARNTL,1,0.84,T9,9,22/01/2021 15:00,0.8675,0.141980046,0.070990023
ARNTL,1,0.91,T9,9,22/01/2021 15:00,0.8675,0.141980046,0.070990023
ARNTL,1,1.03,T9,9,22/01/2021 15:00,0.8675,0.141980046,0.070990023
ARNTL,1,0.58,T10,13,22/01/2021 19:00,0.3575,0.151959424,0.075979712
ARNTL,1,0.33,T10,13,22/01/2021 19:00,0.3575,0.151959424,0.075979712
ARNTL,1,0.26,T10,13,22/01/2021 19:00,0.3575,0.151959424,0.075979712
ARNTL,1,0.26,T10,13,22/01/2021 19:00,0.3575,0.151959424,0.075979712
ARNTL,1,0.21,T11,17,22/01/2021 23:00,0.265,0.049328829,0.024664414
ARNTL,1,0.26,T11,17,22/01/2021 23:00,0.265,0.049328829,0.024664414
ARNTL,1,0.26,T11,17,22/01/2021 23:00,0.265,0.049328829,0.024664414
ARNTL,1,0.33,T11,17,22/01/2021 23:00,0.265,0.049328829,0.024664414
ARNTL,1,0.71,T12,21,23/01/2021 03:00,0.615,0.081853528,0.040926764
ARNTL,1,0.62,T12,21,23/01/2021 03:00,0.615,0.081853528,0.040926764
ARNTL,1,0.62,T12,21,23/01/2021 03:00,0.615,0.081853528,0.040926764
ARNTL,1,0.51,T12,21,23/01/2021 03:00,0.615,0.081853528,0.040926764
PER2,0,0.48,T1,1,21/01/2021 07:00,1.09,0.470673277,0.235336638
PER2,0,1.01,T1,1,21/01/2021 07:00,1.09,0.470673277,0.235336638
PER2,0,1.59,T1,1,21/01/2021 07:00,1.09,0.470673277,0.235336638
PER2,0,1.28,T1,1,21/01/2021 07:00,1.09,0.470673277,0.235336638
PER2,0,1.9,T2,5,21/01/2021 11:00,1.005,0.596908703,0.298454352
PER2,0,0.69,T2,5,21/01/2021 11:00,1.005,0.596908703,0.298454352
PER2,0,0.73,T2,5,21/01/2021 11:00,1.005,0.596908703,0.298454352
PER2,0,0.7,T2,5,21/01/2021 11:00,1.005,0.596908703,0.298454352
PER2,0,1.13,T3,9,21/01/2021 15:00,2.06,0.975499872,0.487749936
PER2,0,3.43,T3,9,21/01/2021 15:00,2.06,0.975499872,0.487749936
PER2,0,1.75,T3,9,21/01/2021 15:00,2.06,0.975499872,0.487749936
PER2,0,1.93,T3,9,21/01/2021 15:00,2.06,0.975499872,0.487749936
PER2,0,3.96,T4,13,21/01/2021 19:00,3.5775,1.45158247,0.725791235
PER2,0,4.75,T4,13,21/01/2021 19:00,3.5775,1.45158247,0.725791235
PER2,0,4.14,T4,13,21/01/2021 19:00,3.5775,1.45158247,0.725791235
PER2,0,1.46,T4,13,21/01/2021 19:00,3.5775,1.45158247,0.725791235
PER2,0,7.78,T5,17,21/01/2021 23:00,9.815,4.991008582,2.495504291
PER2,0,4.31,T5,17,21/01/2021 23:00,9.815,4.991008582,2.495504291
PER2,0,11.15,T5,17,21/01/2021 23:00,9.815,4.991008582,2.495504291
PER2,0,16.02,T5,17,21/01/2021 23:00,9.815,4.991008582,2.495504291
PER2,0,5.78,T6,21,22/01/2021 03:00,5.1075,0.612066173,0.306033086
PER2,0,5.46,T6,21,22/01/2021 03:00,5.1075,0.612066173,0.306033086
PER2,0,4.7,T6,21,22/01/2021 03:00,5.1075,0.612066173,0.306033086
PER2,0,4.49,T6,21,22/01/2021 03:00,5.1075,0.612066173,0.306033086
PER2,0,1.28,T7,1,22/01/2021 07:00,1.7975,0.565058994,0.282529497
PER2,0,2.39,T7,1,22/01/2021 07:00,1.7975,0.565058994,0.282529497
PER2,0,1.35,T7,1,22/01/2021 07:00,1.7975,0.565058994,0.282529497
PER2,0,2.17,T7,1,22/01/2021 07:00,1.7975,0.565058994,0.282529497
PER2,0,1.57,T8,5,22/01/2021 11:00,1.0125,0.417721997,0.208860998
PER2,0,1.08,T8,5,22/01/2021 11:00,1.0125,0.417721997,0.208860998
PER2,0,0.78,T8,5,22/01/2021 11:00,1.0125,0.417721997,0.208860998
PER2,0,0.62,T8,5,22/01/2021 11:00,1.0125,0.417721997,0.208860998
PER2,0,1.56,T9,9,22/01/2021 15:00,1.8775,0.304014802,0.152007401
PER2,0,1.8,T9,9,22/01/2021 15:00,1.8775,0.304014802,0.152007401
PER2,0,1.86,T9,9,22/01/2021 15:00,1.8775,0.304014802,0.152007401
PER2,0,2.29,T9,9,22/01/2021 15:00,1.8775,0.304014802,0.152007401
PER2,0,4.65,T10,13,22/01/2021 19:00,3.38,0.88765609,0.443828045
PER2,0,3.13,T10,13,22/01/2021 19:00,3.38,0.88765609,0.443828045
PER2,0,3.16,T10,13,22/01/2021 19:00,3.38,0.88765609,0.443828045
PER2,0,2.58,T10,13,22/01/2021 19:00,3.38,0.88765609,0.443828045
PER2,0,9.69,T11,17,22/01/2021 23:00,16.82,5.370971358,2.685485679
PER2,0,19.05,T11,17,22/01/2021 23:00,16.82,5.370971358,2.685485679
PER2,0,16.21,T11,17,22/01/2021 23:00,16.82,5.370971358,2.685485679
PER2,0,22.33,T11,17,22/01/2021 23:00,16.82,5.370971358,2.685485679
PER2,0,15.05,T12,21,23/01/2021 03:00,12.655,2.247509733,1.123754867
PER2,0,14.09,T12,21,23/01/2021 03:00,12.655,2.247509733,1.123754867
PER2,0,10.63,T12,21,23/01/2021 03:00,12.655,2.247509733,1.123754867
PER2,0,10.85,T12,21,23/01/2021 03:00,12.655,2.247509733,1.123754867
